"","atopid","polity","s_wt_glo","maxmajpow","consultatop","nagatop","neutatop","defenseatop","offenseatop","secrecy","conditio","intcom","base","contrib","ecaid","milaid","organ1","specthrt","macowe","maconc","maconp","nmacowe","nmaconc","nmaconp","nmaroir","condother","speclength","condlength","renounceok","renounceproh","renouncecond","milcontact","commondef","lallycount","lsumcap","ldistance","compel","prob","deter","deterministic","unconditional","PotMilCapacity.score","Depth.score","Scope.score","indx"
"197",3050,0,0.699,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-5.094,0,0,0,1,1,0,-1.205,-0.511,-0.072,193
"198",3055,10,0.983,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.693,-1.077,5.361,0,0,1,1,1,0.791,-0.502,1.931,194
"199",3060,0,0.994,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-2.077,0,0,0,1,1,1,-0.922,-0.461,1.911,195
"200",3065,0.5,0.974,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.693,-5.282,0,0,0,0,0,0,-1.262,0.28,-0.483,196
"201",3075,2.861,0.989,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.135,2.945,7.585,0,1,1,0,0,1.281,-0.299,-0.2,197
"202",3080,8.5,0.085,1,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,-1.911,8.598,0,1,1,0,0,0.881,0.816,-0.326,198
"203",3085,0,0.716,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-3.501,0,0,0,1,1,0,-1.026,-0.353,-0.168,199
"204",3090,0,0.709,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-3.401,0,0,0,1,1,0,-1.041,-0.471,-0.159,200
"205",3095,0,0.698,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-3.294,0,0,0,1,1,1,-1.021,-0.484,1.811,201
"206",3100,0,0.7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-4.453,5.318,0,0,1,1,0,-1.129,-0.505,-0.162,202
