"atopid","dem.prop","joint.democ","avg.democ","max.democ","min.democ","avg.democ.weight","max.threat","min.threat","mean.threat","maxcap.democ.min","maxcap.democ.max","maxcap.cons","maxcap.rec","maxcap.comp","maxcap.open","prop.open","prop.cons","maxcap.cont.std","maxcap.inc.std","maxcap.comp.lied","maxcap.open.lied","maxcap.lied","maxcap.poly"
1415,0.5,0,4.5,8,1,3.47173577087014,0.819902,0.277363,0.5486325,0,8,1,1,0,1,0.5,1,0,0,1,1,4,0.469
1420,0.5,0,3.5,8,-1,2.72202843789204,0.74480599,0.37943301,0.5621195,0,8,1,1,0,1,0.5,0.5,0,0,1,1,5,0.576
1425,0,0,4,4,4,4,0.41326398,0.41326398,0.41326398,4,4,0,0,1,1,1,0,0,0,0,1,3,0.181
1430,1,1,7,8,6,3.83319061726872,0.79872596,0.338763,0.56874448,0,8,1,1,0,1,0.5,1,0,0,1,1,5,0.577
1435,0,0,-7,-4,-10,-4.1868686673594,0.70293999,0.340491,0.521715495,-10,0,0,0,0,0,0,0,0,0,0,0,0,0.051
1440,0,0,-3.5,1,-8,-2.06497089666368,0.60719699,0.179537,0.393366995,-8,0,0,0,0,0,1,0,0,0,0,0,0,0.058
1445,1,1,7.33333333333333,8,6,2.61973388422452,0.79730701,0.205826,0.567137663333333,0,8,1,1,0,1,0.666666666666667,1,0,0,1,1,4,0.489
1450,0,0,-6.66666666666667,-5,-9,-2.11861220763178,0.78658801,0.78164399,0.784116,-9,0,0,0,0,0,0,0,0,0,0,1,3,0.096
1455,0.5,0,5.5,10,1,4.31195633005354,0.55752802,0.425959,0.49174351,0,10,1,1,1,2,0.5,1,0,0,1,1,4,0.435
1460,0,0,-3.5,-1,-6,-2.4992914525458,0.64410204,0.15265501,0.398378525,-6,0,0,0,0,0,0,0,0,0,0,0,1,0.107
1465,0,0,-2.5,1,-6,-2.20107629351421,0.313541,0.216207,0.264874,-6,0,0,0,0,0,0,0.5,0,0,0,0,1,0.107
1467,0,0,-0.5,2,-3,-0.281517272020438,0.52217501,0.52217501,0.52217501,-3,0,0,0,0,0,0.5,0,0,0,0,1,3,0.214
1470,0,0,-2.5,4,-9,-1.99939096187421,0.57421702,0.53912401,0.556670515,-9,0,0,0,0,0,0.5,0,0,0,0,1,2,0.221
1475,0.5,0,0.5,10,-9,-0.833893909308263,0.57421702,0.53364402,0.55393052,-9,0,0,0,0,0,0.5,0.5,0,0,0,1,2,0.221
1480,0,0,4,4,4,4,0.53912401,0.53912401,0.53912401,4,4,0,0,1,1,1,0,0,0,0,1,3,0.188
1485,1,1,8,8,8,4,0.67352498,0.63426298,0.65389398,0,8,1,1,0,1,1,1,0,0,1,1,4,0.488
1490,0.5,0,7,10,4,4.41555621360182,0.55743301,0.55209297,0.55476299,0,10,1,1,1,2,1,0.5,0,0,0,1,3,0.401
2005,0,0,0.5,2,-1,0.893028094023225,0.74843299,0.386449,0.567440995,0,2,0,0,1,1,0.5,0,0,0,0,1,2,0.251
2010,0,0,-5,-1,-9,-1.15519923458677,0.386449,0.38484702,0.38564801,-1,0,0,0,0,0,0,0,0,0,0,0,1,0.081
2012,0,0,-6.5,-4,-9,-2.08425005168932,0.74843299,0.38484702,0.566640005,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,-3.5,2,-9,0.91849362968277,0.74843299,0.38484702,0.566640005,0,2,0,0,1,1,0.5,0,0,0,0,1,2,0.251
2015,0.666666666666667,0,3.33333333333333,8,-6,1.06806215172386,0.64875603,0.623079,0.63538901,0,8,1,1,0,1,0.666666666666667,0.666666666666667,0,0,1,1,4,0.483
2020,0,0,-5,-4,-6,-2.95107081149237,0.634332,0.464661,0.5494965,-6,0,0,0,0,0,0,0,0,0,0,0,1,0.107
2025,0.5,0,2.25,8,-6,0.685964337009417,0.60890102,0.404448,0.5575757675,0,8,1,1,0,1,0.5,0.5,0,0,1,1,4,0.476
2030,0,0,-3.66666666666667,2,-9,0.0637825205475625,0.77362198,0.4165,0.65458132,0,2,0,0,1,1,0.5,0,0,0,0,1,2,0.244
2035,0,0,-2.5,1,-6,-2.44889296696468,0.59455299,0.213574,0.404063495,-6,0,0,0,0,0,0,0.5,0,0,0,0,1,0.106
2040,0.4,0,2.25,8,-6,0.596128127829061,0.59455299,0.27350801,0.529809794,0,8,1,1,0,1,0.5,0.5,0,0,1,1,4,0.455
2045,0,0,-2,1,-5,-1.73891795243627,0.178931,0.142798,0.1608645,-5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.136
2050,1,1,7,7,7,3.5,0,0,0,0,7,1,1,0,1,1,1,0,0,1,1,6,0.635
2055,1,1,9,9,9,4.5,0,0,0,0,9,1,1,0,0,NA,1,0,0,1,1,5,0.565
2060,1,1,8.5,9,8,4.35202242550585,0.56857902,0,0.28428951,0,9,1,1,0,0,1,1,0,0,1,1,5,0.565
