"atopid","year","mean.s.sc","low.s.sc","mean.pi.sc","low.pi.sc","mean.kap.sc","low.kap.sc"
1070,1845,0.857529,0.857529,0.7850747,0.7850747,0.7857143,0.7857143
1070,1846,0.8627794,0.8627794,0.7855073,0.7855073,0.7861272,0.7861272
1070,1847,0.8611106,0.8611106,0.7859155,0.7859155,0.7865168,0.7865168
1070,1848,0.8518929,0.8518929,0.7863014,0.7863014,0.7868853,0.7868853
1075,1833,0.7097239,0.7097239,0.568351,0.568351,0.5725369,0.5725369
1075,1834,0.7017048,0.7017048,0.568351,0.568351,0.5725369,0.5725369
1075,1835,0.7060591,0.7060591,0.568351,0.568351,0.5725369,0.5725369
1075,1836,0.7087232,0.7087232,0.568351,0.568351,0.5725369,0.5725369
1075,1837,0.7010258,0.7010258,0.5699736,0.5699736,0.573991,0.573991
1075,1838,0.6957303,0.6957303,0.5699736,0.5699736,0.573991,0.573991
1075,1839,0.6974401,0.6974401,0.5728837,0.5728837,0.5766017,0.5766017
1075,1840,0.3614207,0.3614207,0.8471825,0.8471825,0.847764,0.847764
1075,1841,0.7168381,0.7168381,0.575419,0.575419,0.5788788,0.5788788
1080,1833,0.870227,0.870227,0.213419,0.213419,0.2759527,0.2759527
1080,1834,0.8650575,0.8650575,0.213419,0.213419,0.2759527,0.2759527
1080,1835,0.8614476,0.8614476,0.213419,0.213419,0.2759527,0.2759527
1080,1836,0.8670314,0.8670314,0.213419,0.213419,0.2759527,0.2759527
1080,1837,0.8563213,0.8563213,0.1681618,0.1681618,0.2451154,0.2451154
1080,1838,0.8557324,0.8557324,0.1681618,0.1681618,0.2451154,0.2451154
1080,1839,0.8408996,0.8408996,0.1864812,0.1864812,0.2560175,0.2560175
1080,1840,0.2821596,0.2821596,0.195469,0.195469,0.2897561,0.2897561
1080,1841,0.863108,0.863108,0.2019882,0.2019882,0.2653787,0.2653787
1080,1842,0.9303052,0.9303052,0.2363636,0.2363636,0.3046358,0.3046358
1080,1843,0.9281756,0.9281756,0.1964286,0.1964286,0.2771084,0.2771084
1080,1844,0.5318817,0.5318817,0.1701815,0.1701815,0.242953,0.242953
1080,1845,0.5179704,0.5179704,0.1701815,0.1701815,0.242953,0.242953
1080,1846,0.5294707,0.5294707,0.1769995,0.1769995,0.2468601,0.2468601
1080,1847,0.9288475,0.9288475,0.1665005,0.1665005,0.2562278,0.2562278
1080,1848,0.9077662,0.9077662,0.1726133,0.1726133,0.2590674,0.2590674
1080,1849,0.9986307,0.9986307,0.7863014,0.7863014,0.7868853,0.7868853
1080,1850,0.8517264,0.8517264,0.1294643,0.1294643,0.2168675,0.2168675
1080,1851,0.8355091,0.8355091,0.0974359,0.0974359,0.1970803,0.1970803
1080,1852,0.8326107,0.8326107,0.0974359,0.0974359,0.1970803,0.1970803
1080,1853,0.8377108,0.8377108,0.0974359,0.0974359,0.1970803,0.1970803
1085,1833,0.870227,0.870227,0.213419,0.213419,0.2759527,0.2759527
1085,1834,0.8650575,0.8650575,0.213419,0.213419,0.2759527,0.2759527
1085,1835,0.8614476,0.8614476,0.213419,0.213419,0.2759527,0.2759527
1085,1836,0.8670314,0.8670314,0.213419,0.213419,0.2759527,0.2759527
1085,1837,0.8563213,0.8563213,0.1681618,0.1681618,0.2451154,0.2451154
1085,1838,0.8557324,0.8557324,0.1681618,0.1681618,0.2451154,0.2451154
1085,1839,0.8408996,0.8408996,0.1864812,0.1864812,0.2560175,0.2560175
1085,1840,0.2821596,0.2821596,0.195469,0.195469,0.2897561,0.2897561
1085,1841,0.863108,0.863108,0.2019882,0.2019882,0.2653787,0.2653787
1085,1842,0.9303052,0.9303052,0.2363636,0.2363636,0.3046358,0.3046358
1085,1843,0.9281756,0.9281756,0.1964286,0.1964286,0.2771084,0.2771084
1085,1844,0.5318817,0.5318817,0.1701815,0.1701815,0.242953,0.242953
1085,1845,0.5179704,0.5179704,0.1701815,0.1701815,0.242953,0.242953
1085,1846,0.5294707,0.5294707,0.1769995,0.1769995,0.2468601,0.2468601
1085,1847,0.9288475,0.9288475,0.1665005,0.1665005,0.2562278,0.2562278
1085,1848,0.9077662,0.9077662,0.1726133,0.1726133,0.2590674,0.2590674
1085,1849,0.9986307,0.9986307,0.7863014,0.7863014,0.7868853,0.7868853
1085,1850,0.8517264,0.8517264,0.1294643,0.1294643,0.2168675,0.2168675
1085,1851,0.8355091,0.8355091,0.0974359,0.0974359,0.1970803,0.1970803
1085,1852,0.8326107,0.8326107,0.0974359,0.0974359,0.1970803,0.1970803
1085,1853,0.8377108,0.8377108,0.0974359,0.0974359,0.1970803,0.1970803
1085,1854,-0.0415296,-0.0415296,0.0352941,0.0352941,0.1632653,0.1632653
1090,1833,0.8981405,0.8981405,0.3341251,0.3341251,0.3662396,0.3662396
1090,1834,0.8944035,0.8944035,0.3341251,0.3341251,0.3662396,0.3662396
1090,1835,0.8917579,0.8917579,0.3341251,0.3341251,0.3662396,0.3662396
1090,1836,0.896215,0.896215,0.3341251,0.3341251,0.3662396,0.3662396
1090,1837,0.8863972,0.8863972,0.2794407,0.2794407,0.3232323,0.3232323
1090,1838,0.8853046,0.8853046,0.2794407,0.2794407,0.3232323,0.3232323
1090,1839,0.870356,0.870356,0.2927594,0.2927594,0.3325031,0.3325031
1090,1840,0.882762,0.882762,0.2927594,0.2927594,0.3325031,0.3325031
1090,1841,0.8912936,0.8912936,0.3041087,0.3041087,0.3404748,0.3404748
1090,1842,0.9576367,0.9576367,0.3387315,0.3387315,0.3797468,0.3797468
1090,1843,0.9547418,0.9547418,0.2906404,0.2906404,0.3424658,0.3424658
1090,1844,0.5588056,0.5588056,0.262931,0.262931,0.3080425,0.3080425
1090,1845,0.5445649,0.5445649,0.262931,0.262931,0.3080425,0.3080425
1090,1846,0.5579926,0.5579926,0.2680895,0.2680895,0.3114594,0.3114594
1090,1847,0.9590493,0.9590493,0.2995392,0.2995392,0.3476395,0.3476395
1090,1848,0.9516988,0.9516988,0.3035714,0.3035714,0.35,0.35
1095,1833,0.913484666666667,0.870227,0.464970833333333,0.213419,0.4967866,0.2759527
1095,1834,0.910038366666667,0.8650575,0.464970833333333,0.213419,0.4967866,0.2759527
1095,1835,0.907631733333333,0.8614476,0.464970833333333,0.213419,0.4967866,0.2759527
1095,1836,0.9113543,0.8670314,0.464970833333333,0.213419,0.4967866,0.2759527
1095,1837,0.9042142,0.8563213,0.434687266666667,0.1681618,0.475163533333333,0.2451154
1095,1838,0.9038216,0.8557324,0.434687266666667,0.1681618,0.475163533333333,0.2451154
1095,1839,0.893933066666667,0.8408996,0.446904133333333,0.1864812,0.483529866666667,0.2560175
1095,1840,0.476314533333333,0.264022,0.407187233333333,0.195469,0.453321366666667,0.2897561
1095,1841,0.908738666666667,0.863108,0.4572365,0.2019882,0.490665066666667,0.2653787
1095,1842,0.9535368,0.9303052,0.480839766666667,0.2363636,0.5174357,0.3046358
1095,1843,0.952117066666667,0.9281756,0.454023,0.1964286,0.4983356,0.2771084
1095,1844,0.6879211,0.5318817,0.4360375,0.1701815,0.475476033333333,0.242953
1095,1845,0.678646933333333,0.5179704,0.4360375,0.1701815,0.475476033333333,0.242953
1095,1846,0.686313766666667,0.5294707,0.440585233333333,0.1769995,0.4784653,0.2468601
1095,1847,0.952565033333333,0.9288475,0.429072066666667,0.1665005,0.4754324,0.2562278
1095,1848,0.9385108,0.9077662,0.433193633333333,0.1726133,0.477885033333333,0.2590674
1100,1834,0.840583633333333,0.6896542,0.946503466666667,0.911315,0.946571166666667,0.9114504
1100,1835,0.839153683333333,0.6873878,0.946503466666667,0.911315,0.946571166666667,0.9114504
1100,1836,0.843499833333333,0.6955566,0.946503466666667,0.911315,0.946571166666667,0.9114504
1100,1837,0.8402896,0.6898785,0.9467749,0.9117647,0.9468397,0.9118943
1100,1838,0.839252216666667,0.6877949,0.9467749,0.9117647,0.9468397,0.9118943
1100,1839,0.839291216666667,0.6877096,0.947259916666667,0.9125683,0.94731955,0.9126876
1110,1840,0.4011954,-0.1232358,0.38416679,-0.0618401,0.42568715,0.011236
1115,1844,0.4554317,0.4554317,0.5054945,0.5054945,0.5115332,0.5115332
1115,1845,0.460025,0.460025,0.5054945,0.5054945,0.5115332,0.5115332
1115,1846,0.4827167,0.4827167,0.5066667,0.5066667,0.5125165,0.5125165
1118,1846,NA,NA,NA,NA,NA,NA
1118,1847,NA,NA,NA,NA,NA,NA
1118,1848,NA,NA,NA,NA,NA,NA
1118,1849,NA,NA,NA,NA,NA,NA
1118,1850,NA,NA,NA,NA,NA,NA
1118,1851,NA,NA,NA,NA,NA,NA
1118,1852,NA,NA,NA,NA,NA,NA
1118,1853,NA,NA,NA,NA,NA,NA
1118,1854,NA,NA,NA,NA,NA,NA
1118,1855,NA,NA,NA,NA,NA,NA
1118,1856,NA,NA,NA,NA,NA,NA
1120,1847,0.379257066666667,0.1209198,0.16535975,-0.027027,0.1732997,-0.027027
1125,1847,0.5647576,0.5647576,0.05,0.05,0.1739131,0.1739131
1125,1848,0.575857,0.575857,0.0564516,0.0564516,0.1760563,0.1760563
1125,1849,0.7452319,0.7452319,0.7863014,0.7863014,0.7868853,0.7868853
1125,1850,0.5714934,0.5714934,0.1294643,0.1294643,0.2168675,0.2168675
1125,1851,0.5914533,0.5914533,0.0974359,0.0974359,0.1970803,0.1970803
1125,1852,0.5777202,0.5777202,0.0974359,0.0974359,0.1970803,0.1970803
1125,1853,0.574347,0.574347,0.0974359,0.0974359,0.1970803,0.1970803
1125,1854,-0.3074877,-0.3074877,0.0352941,0.0352941,0.1632653,0.1632653
1125,1855,-0.0175843,-0.0175843,0.0785714,0.0785714,0.1835443,0.1835443
1125,1856,-0.0077407,-0.0077407,0.0785714,0.0785714,0.1835443,0.1835443
1125,1857,-0.0107062,-0.0107062,0.0785714,0.0785714,0.1835443,0.1835443
1125,1858,-0.0042587,-0.0042587,0.0785714,0.0785714,0.1835443,0.1835443
1125,1859,-0.0083966,-0.0083966,0.0833334,0.0833334,0.1851852,0.1851852
1130,1848,NA,NA,NA,NA,NA,NA
1130,1849,NA,NA,NA,NA,NA,NA
1130,1850,NA,NA,NA,NA,NA,NA
1130,1851,0.5917648,0.5917648,0.0974359,0.0974359,0.1970803,0.1970803
1130,1852,0.5781317,0.5781317,0.0974359,0.0974359,0.1970803,0.1970803
1130,1853,0.5747018,0.5747018,0.0974359,0.0974359,0.1970803,0.1970803
1130,1854,-0.3077934,-0.3077934,0.0352941,0.0352941,0.1632653,0.1632653
1130,1855,-0.0178491,-0.0178491,0.0785714,0.0785714,0.1835443,0.1835443
1130,1856,-0.0080565,-0.0080565,0.0785714,0.0785714,0.1835443,0.1835443
1130,1857,-0.0108687,-0.0108687,0.0785714,0.0785714,0.1835443,0.1835443
1130,1858,-0.0045479,-0.0045479,0.0785714,0.0785714,0.1835443,0.1835443
1130,1859,-0.0087845,-0.0087845,0.0833334,0.0833334,0.1851852,0.1851852
1135,1849,1,1,1,1,1,1
1140,1850,0.8111574,0.7167361,0.9155844,0.8733766,0.9158576,0.8737864
1145,1851,0.7508285,0.7508285,0.8169336,0.8169336,0.8181818,0.8181818
1145,1852,0.7400729,0.7400729,0.8169336,0.8169336,0.8181818,0.8181818
1145,1853,0.7317873,0.7317873,0.8169336,0.8169336,0.8181818,0.8181818
1145,1854,-0.1708371,-0.1708371,0.7122807,0.7122807,0.7172414,0.7172414
1150,1851,NA,NA,NA,NA,NA,NA
1155,1851,NA,NA,NA,NA,NA,NA
1155,1852,NA,NA,NA,NA,NA,NA
1155,1853,NA,NA,NA,NA,NA,NA
1155,1854,NA,NA,NA,NA,NA,NA
1155,1855,NA,NA,NA,NA,NA,NA
