"lambda","atopid","begyr","endyr","uncond.milsup","scope.index","latent.depth.mean","offense","defense","consul","neutral","nonagg","base","armred.rc","organ1","milaid.rc","us.mem","ussr.mem","ecaid","trade.dum","milcor.index","econagg.dum","fp.conc.index","econagg.index","num.mem","nonagg.only","wartime","asymm","asymm.cap","low.kap.sc","freq","avg.democ"
-0.0265161217404748,3395,1960,2016,0,2,1.63182320059108,0,1,1,0,0,3,0,3,0,0,0,0,0,5,0,0,0,4,0,0,1,1,0.2064944,57,-1.75
-0.0600696448657018,3400,1960,1964,1,3,1.71581922401884,0,1,1,0,0,3,0,3,1,0,0,0,0,5,0,0,0,3,0,0,1,0,0.3090143,5,6.33333333333333
0.0445294214155101,3405,1960,1974,0,0,-0.373610655736914,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,1,0.1951862,15,7.25
-0.0733205284334048,3410,1960,2016,0,2,1.81854170671097,0,1,0,0,0,3,0,3,1,0,0,0,0,5,0,0,0,2,0,0,0,1,0.1068714,57,-1
-0.00430429268355451,3423,1960,1962,1,2,-0.280167291333273,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0.1139062,3,9
0.0140054853121932,3430,1961,1963,1,2,0.165620756469239,0,1,1,0,0,0,0,3,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0.9812658,3,-8
-0.0354455105376006,3440,1961,1996,1,1,-0.74195430974732,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,2,0,0,0,1,0.3601221,36,-7.5
0.0570517676339831,3445,1961,2016,1,2,-0.753427572815123,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,2,0,0,0,1,0.8801481,56,-8
0.205723338779039,3455,1961,1964,1,2,0.172500839652665,0,1,1,0,1,0,0,3,0,0,0,0,0,1,1,3,1,14,0,0,0,0,0.954933,4,-4.33333333333333
-0.0777535251067804,3465,1962,1990,1,3,1.99956778910909,1,1,1,0,0,0,0,3,0,0,0,3,1,3,1,0,2,2,0,0,0,0,1,29,-9.5
-0.0520940634950579,3467,1962,1967,1,1,1.00261048310016,0,1,0,0,0,NA,NA,NA,NA,0,0,NA,NA,1,0,0,0,2,0,0,0,0,0.9935083,6,-3.5
-0.0576143710986838,3480,1963,1970,1,3,1.16308177234287,0,1,0,0,0,3,0,2,1,1,0,0,0,4,1,0,1,2,0,0,1,1,0.0843763,8,1.5
0.00818595907670221,3485,1963,2016,1,1,0.0171018583125602,0,1,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,1,0,1,2,0,0,0,0,1,54,-3.5
-0.0601121951202008,3490,1963,1969,0,1,0.800852548846617,0,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,7,-4.66666666666667
-0.045678823449372,3520,1965,1991,0,0,-0.733357167307288,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,1,0.7638837,27,-7
